,term,control,wiki,word2vec
1025,mean reversion,0,0,0
1026,measures of central tendency,0,0,0
1027,mechanical filter,0,28,0
1028,mechanical wave,0,7,0
1029,mechanics,28,31,72
1030,median,0,0,0
1031,medium term,0,0,0
1032,medulla,0,0,0
1033,meiosis,0,0,2
1034,melting,0,7,0
1035,membrane potential,0,0,0
1036,menu costs,0,0,0
1037,mercantilism,0,0,2
1038,mergers and acquisitions,1,1,1
1039,meson,0,0,0
1040,messenger rna,0,0,0
1041,metal,0,0,3
1042,metalloid,0,0,0
1043,metaphase,0,0,0
1044,methylene blue,0,0,0
1045,microbiology,0,0,10
1046,microcentrifuge,0,0,0
1047,microcentrifuge or eppendorf tube with coomassie blue solution,0,0,0
1048,microeconomics,3,3,8
1049,microevolution,0,0,0
1050,microtome,0,0,0
1051,minimum wage,0,0,0
1052,misery index,0,0,0
1053,mitosis,0,0,2
1054,mixed economy,0,3,0
1055,mobility,3,3,15
1056,mode,0,0,0
1057,modelling,0,0,30
1058,modern portfolio theory,0,0,0
1059,modulus of elasticity,0,0,0
1060,molality,0,0,0
1061,molar attenuation coefficient,0,0,0
1062,molar concentration,0,0,0
1063,molar mass,0,0,0
1064,molarity,0,0,0
1065,mole,0,0,0
1066,molecular biology,6,6,69
1067,molecular formula,0,0,0
1068,molecular orbital,0,0,0
1069,molecular orbital diagram,0,0,0
1070,molecular physics,0,0,7
1071,molecule,0,23,3
1072,moment of inertia,0,0,0
1073,monetarism,0,0,0
1074,monetary neutrality,0,0,0
1075,monetary policy,0,0,5
1076,money,1,1,7
1077,money illusion,0,0,0
1078,money markets,0,0,0
1079,money supply,0,0,1
1080,monomer,0,0,0
1081,monopolistic competition,0,0,0
1082,monopoly,0,0,0
1083,monopsony,0,0,0
1084,moral hazard,0,1,0
1085,most-favoured nation,0,0,0
1086,motor neuron,0,0,2
1087,mucous membrane,0,7,0
1088,multicellular organism,0,0,0
1089,multiplier,0,0,0
1090,muon,0,0,0
1091,mycology,0,0,0
1092,myofibril,0,0,0
1093,myosin,0,3,0
1094,nafta,0,0,0
1095,nairu,0,0,0
1096,nanoengineering,0,1,0
1097,nanotechnology,1,3,25
1098,nash equilibrium,0,0,0
1099,nation building,0,0,0
1100,national debt,0,0,0
1101,national income,0,0,0
1102,nationalisation,0,0,0
1103,natural monopoly,0,0,0
1104,natural rate of unemployment,0,8,0
1105,natural selection,0,2,20
1106,navier,0,0,0
1107,neat,0,0,0
1108,negative income tax,0,0,0
1109,neo-classical economics,0,0,4
1110,net present value,0,24,0
1111,network effect,0,10,0
1112,neurobiology,0,0,16
1113,neuromuscular junction,0,0,0
1114,neuron,2,2,2
1115,neurophysics,0,8,0
1116,neurotransmitter,0,0,0
1117,neutrality,0,0,7
1118,neutrino,0,0,3
1119,neutron,0,0,4
1120,new economy,0,0,0
1121,new growth theory,0,0,0
1122,new trade theory,0,0,0
1123,newton's law of universal gravitation,0,0,0
1124,newton's laws of motion,0,8,0
1125,newtonian fluid,0,0,0
1126,ngo,0,0,0
1127,nobel prize for economics,0,0,0
1128,noble gases,0,0,0
1129,nominal value,0,0,0
1130,non-metal,0,0,0
1131,non-price competition,0,0,0
1132,normal goods,0,0,0
1133,normative economics,0,0,0
1134,npv,0,0,0
1135,nth root,0,0,0
1136,nuclear,2,2,33
1137,nuclear magnetic resonance spectroscopy,0,0,0
1138,nuclear physics,0,3,18
1139,nuclear transmutation,0,1,0
1140,nucleic acid,0,7,1
1141,nucleic acid sequence,0,19,0
1142,nucleobase,0,9,0
1143,nucleoid,0,0,0
1144,nucleolus,0,0,0
1145,nucleotide,0,18,0
1146,nucleus,0,0,6
1147,null hypothesis,0,0,0
1148,number density,0,0,0
1149,oecd,0,0,0
1150,offshore,0,0,5
1151,ohm,0,0,0
1152,ohm's law,0,0,0
1153,okun's law,0,8,0
1154,oligopoly,0,0,0
1155,oncology,0,0,0
1156,opec,0,0,0
1157,open economy,0,0,0
1158,open-market operations,0,0,0
1159,opportunity cost,0,0,2
1160,optics,3,3,45
1161,optimal currency area,0,0,0
1162,optimum,0,0,2
1163,option,0,0,8
1164,orbital,0,0,11
1165,organ,0,0,3
1166,organic chemistry,0,0,2
1167,organic compound,0,0,0
1168,organic redox reaction,0,0,0
1169,organism,0,0,3
1170,ornithology,0,0,0
1171,osmosis,0,3,0
1172,other metal,0,0,0
1173,output,0,0,5
1174,output gap,0,0,0
1175,outsourcing,0,87,11
1176,outward investment,0,0,0
1177,over the counter,0,0,0
1178,overheating,0,0,0
1179,overshooting,0,0,0
1180,oxidation,0,0,0
1181,oxidation state,0,0,0
1182,oxidizing agent,0,0,0
1183,paleontology,0,0,7
1184,paraffin,0,0,0
1185,parallel evolution,0,0,0
1186,parasitology,0,0,0
1187,pareto efficiency,0,0,0
1188,paris club,0,0,0
1189,parity (mathematics),0,0,0
1190,parity (physics),0,13,0
1191,particle accelerator,0,0,0
1192,particle displacement,0,1,0
1193,particle physics,0,0,1
1194,pascal's law,0,0,0
1195,patents,0,0,31
1196,path dependence,0,0,0
1197,pathobiology,0,0,0
1198,pathology,0,0,25
1199,peak pricing,0,0,0
1200,pendulum,0,0,0
1201,percentage point,0,0,0
1202,percentile,0,0,0
1203,perfect competition,0,0,0
1204,periodic table,0,1,6
1205,permanent income hypothesis,0,0,0
1206,ph,1,1,1
1207,pharmacology,0,1,7
1208,phase (matter),0,3,0
1209,phase (waves),0,1,0
1210,phase equilibrium,0,0,0
1211,phenotype,0,1,0
1212,pheromone,0,0,0
1213,phillips curve,0,0,0
1214,phloem,0,3,0
1215,phosphorescence,0,0,0
1216,photon,1,5,2
1217,physical chemistry,0,0,11
1218,physical quantity,0,0,1
1219,physics,54,54,310
1220,physiology,0,0,63
1221,phytochemistry,0,16,0
1222,phytopathology,0,0,0
1223,pigou effect,0,0,0
1224,placebo,0,1,0
1225,planck constant,0,0,0
1226,plant nutrition,0,0,0
1227,plasma,4,4,4
1228,plasma physics,4,4,4
1229,plasmolysis,0,0,0
1230,plasticity,0,0,0
1231,plaza accord,0,0,0
1232,pneumatics,0,0,0
1233,pollination,0,0,0
1234,polygene,0,7,0
1235,polymer,0,0,0
1236,polymerase chain reaction,0,2,0
1237,polyploid,0,0,0
1238,population,0,0,2
1239,population biology,0,0,0
1240,population ecology,0,2,0
1241,population genetics,0,7,7
1242,positional goods,0,0,0
1243,positive economics,0,0,0
1244,potential energy,0,0,1
1245,poverty,6,8,6
1246,poverty trap,0,6,0
1247,power (electric),0,0,0
1248,power (physics),0,3,0
1249,ppp,0,0,0
1250,precautionary motive,0,0,0
1251,precipitate,0,0,0
1252,precision,0,0,6
1253,predation,0,0,0
1254,predatory pricing,0,4,0
1255,preference,0,0,1
1256,present value,0,1,0
1257,pressure,0,4,1
1258,price,1,5,5
1259,price discrimination,0,0,13
1260,price elasticity,0,0,0
1261,price mechanism,0,11,0
1262,price regulation,0,0,0
1263,price/earnings ratio,0,0,0
1264,primase,0,2,0
1265,principal-agent theory,0,0,0
1266,prisoners' dilemma,0,0,0
1267,private equity,0,0,0
1268,privatisation,0,0,7
1269,probability,10,10,15
1270,probability distribution,1,1,4
1271,probability theory,0,0,0
1272,producer prices,0,0,0
1273,producer surplus,0,0,0
1274,production function,0,0,0
1275,productivity,1,5,26
1276,profit,0,0,15
1277,profit margin,0,0,0
1278,profit maximisation,0,0,0
1279,progesterone,0,0,0
1280,progressive taxation,0,0,0
1281,prokaryote,0,1,0
1282,propensity,0,0,0
1283,property rights,0,0,0
1284,prospect theory,0,0,0
1285,protectionism,0,0,0
1286,protein,0,6,4
1287,proton,0,0,3
1288,protonation,0,0,0
1289,psi particle,0,0,0
1290,psychobiology,0,0,0
1291,public goods,0,0,0
1292,public spending,0,0,0
1293,public utility,0,0,0
1294,public-private,0,0,0
1295,pulley,0,28,0
1296,pulse,0,0,5
1297,pulse wave,0,7,0
1298,purchasing power parity,0,0,0
1299,q theory,10,10,10
1300,quanta,0,0,0
1301,quantity theory of money,0,0,0
1302,quantum,16,16,42
1303,quantum electrodynamics,0,3,0
1304,quantum field theory,0,13,0
1305,quantum mechanics,10,10,49
1306,quantum physics,0,0,1
1307,quark,0,0,0
1308,quarks,0,0,0
1309,quartile,0,0,0
1310,queueing,0,0,5
1311,quota,0,0,0
1312,r squared,0,0,0
1313,radiant energy,0,0,0
1314,radiation,1,4,2
1315,radioactive decay,0,1,0
1316,radius of curvature,0,0,0
1317,random walk,0,0,0
1318,raoult's law,0,8,0
1319,rate of return,0,8,0
1320,rate of return regulation,0,0,0
1321,ratings,0,0,7
1322,rational expectations,0,0,0
1323,rationality,0,0,0
1324,rationing,0,0,13
1325,reactivity series,0,0,0
1326,reagent,0,0,0
1327,real balance effect,0,0,0
1328,real exchange rate,0,0,0
1329,real interest rate,0,0,0
1330,real options theory,0,0,0
1331,real terms,0,0,0
1332,recession,0,0,1
1333,reciprocity,0,0,0
1334,redlining,0,5,0
1335,redox,0,0,2
1336,redshift,0,0,0
1337,reducing agent,0,0,0
1338,reduction potential,0,0,0
1339,reflation,0,0,0
1340,refraction,0,3,0
1341,refractive index,0,0,0
1342,regional policy,1,17,1
1343,regression analysis,0,8,0
1344,regressive tax,0,0,0
1345,regulation,2,2,18
1346,regulatory arbitrage,0,0,0
1347,regulatory capture,0,0,0
1348,regulatory failure,0,0,0
1349,regulatory risk,0,0,0
1350,relative atomic mass,0,0,0
1351,relative income hypothesis,0,0,0
1352,rent,0,0,2
1353,rent-seeking,0,0,0
1354,replacement cost,0,0,0
1355,replacement rate,0,0,0
1356,repo,0,0,0
1357,reproduction,0,0,0
1358,required return,0,0,0
1359,rescheduling,0,0,0
1360,reservation wage,0,0,0
1361,reserve currency,0,0,0
1362,reserve ratio,0,0,0
1363,reserve requirements,0,0,0
1364,reserves,0,0,0
1365,residual risk,0,15,0
1366,restrictive practice,0,0,0
1367,returns,0,0,2
1368,revealed preference,0,0,0
1369,ricardian equivalence,0,0,0
1370,"ricardo, david",0,0,0
1371,rigid body,0,0,0
1372,risk,15,18,16
1373,risk averse,0,0,0
1374,risk management,10,13,26
1375,risk neutral,0,1,0
1376,risk premium,0,0,0
1377,risk seeking,0,0,0
1378,risk-free rate,0,0,0
1379,rna,2,2,14
1380,roche limit,0,1,0
1381,rotational energy,0,0,0
1382,rotational speed,0,0,0
1383,rydberg formula,0,5,0
1384,s-block elements,0,0,0
1385,safe harbour,0,0,0
1386,saline solution,0,0,0
1387,salt bridge,0,0,0
1388,salts,0,0,0
1389,satisficing,0,0,0
1390,savings,0,0,11
1391,say's law,0,0,0
1392,scalability,0,8,1
1393,scalar (mathematics),0,9,0
1394,scalar (physics),0,3,0
1395,scarcity,0,0,3
1396,scattering,0,8,1
1397,scenario analysis,0,12,0
1398,schrödinger equation,0,0,0
1399,"schumpeter, joseph",0,0,0
1400,science,153,153,319
1401,screw,0,0,0
1402,sdr,0,0,0
1403,search costs,0,0,0
1404,seasonally adjusted,0,0,0
1405,second-best theory,0,0,0
1406,secondary market,0,5,0
1407,securities,0,0,12
1408,securitisation,0,0,0
1409,seignorage,0,0,0
1410,seller's market,0,0,0
1411,semiconductor,0,0,18
1412,seniority,0,0,0
1413,sequencing,0,6,15
1414,services,11,11,40
1415,sexual reproduction,0,0,0
1416,shadow matter,0,0,0
1417,shadow price,0,0,0
1418,shareholder value,0,2,0
1419,shares,0,0,0
1420,sharpe ratio,0,0,0
1421,shear strength,0,1,0
1422,shear stress,0,3,0
1423,shock,4,4,4
1424,short-termism,0,0,0
1425,shorting,0,0,0
1426,shortwave radiation,0,7,0
1427,si units,0,0,0
1428,signalling,0,0,0
1429,simple harmonic motion,0,5,0
1430,simple interest,0,0,0
1431,simple machine,0,0,0
1432,single bond,0,0,0
1433,siphon,0,0,0
1434,"smith, adam",0,0,0
1435,snell's law,0,0,0
1436,social benefits/costs,0,0,0
1437,social capital,0,0,0
1438,social market,0,0,0
1439,socialism,1,1,4
1440,sociobiology,0,54,0
1441,soft currency,0,0,0
1442,soft dollars,0,0,0
1443,soft loan,0,0,0
1444,soil biology,0,0,0
1445,soil microbiology,0,0,0
1446,sol,0,0,7
1447,solar cell,0,0,0
1448,solid,5,5,9
1449,solid mechanics,0,0,0
1450,solubility,0,8,0
1451,solute,0,0,0
1452,solution,0,0,16
1453,solvent,0,8,0
1454,sound,0,7,0
1455,sovereign risk,0,0,0
1456,special relativity,0,3,16
1457,speciation,0,4,0
1458,species,0,0,2
1459,spectrochemistry,0,0,0
1460,spectroscopy,0,0,19
1461,speculation,0,5,10
1462,speculative motive,0,0,0
1463,speed of light,0,8,0
1464,spin quantum number,0,5,0
1465,spot price,0,0,0
1466,spread,0,0,8
1467,stabilisation,0,0,0
1468,stability and growth pact,0,0,0
1469,stagflation,0,8,0
1470,stagnation,0,0,2
1471,stakeholders,0,0,0
1472,standard deviation,0,0,0
1473,standard error,0,0,0
1474,standard model,0,0,0
1475,state of matter,0,0,0
1476,statics,0,33,0
1477,statistical significance,0,0,0
1478,statistics,26,159,32
1479,stem cell,0,5,7
1480,sterilised intervention,0,0,0
1481,steroid,0,0,0
1482,sticky prices,0,0,0
1483,stiffness,0,0,0
1484,stochastic process,0,0,0
1485,stocks,0,0,2
1486,strain,0,0,0
1487,strain hardening,0,0,0
1488,strength of materials,0,1,0
1489,stress,7,7,7
1490,stress-testing,2,2,2
1491,string duality,0,0,0
1492,string theory,0,3,0
1493,structural adjustment,0,0,1
1494,structural biology,0,6,0
1495,structural formula,0,0,0
1496,structural load,0,1,0
1497,structural unemployment,0,8,0
1498,subatomic particle,0,10,0
1499,subatomic particles,0,0,0
1500,sublimation,0,0,0
1501,subsidy,4,4,4
1502,substance,0,0,2
1503,substitute goods,0,0,0
1504,substitution effect,0,0,0
1505,sunk costs,0,0,0
1506,superconductivity,0,3,0
1507,superconductor,0,0,1
1508,superhard material,0,19,0
1509,supernova,0,0,0
1510,superposition principle,0,10,0
1511,supply,13,13,18
1512,supply curve,0,0,0
1513,supply-side policies,0,0,0
1514,surface tension,0,0,1
1515,sustainable growth,0,0,0
1516,swap,0,0,0
1517,symbiogenesis,0,0,0
1518,synthetic biology,1,5,1
1519,systematic risk,0,5,0
1520,systematics,0,0,3
1521,systemic risk,0,5,0
1522,t cell,3,14,3
1523,talc,0,0,5
1524,tangible assets,0,0,0
1525,tariff,0,0,5
1526,tax arbitrage,0,0,0
1527,tax avoidance,0,0,0
1528,tax base,0,0,1
1529,tax burden,0,0,11
1530,tax competition,0,0,0
1531,tax efficient,0,0,0
1532,tax evasion,0,0,0
1533,tax haven,0,0,0
1534,tax incidence,0,0,0
1535,taxation,0,0,15
1536,technical progress,0,0,0
1537,technical standard,0,4,0
1538,temperature,0,3,3
1539,tensile modulus,0,0,0
1540,tensile strength,0,0,1
1541,terms of trade,0,0,0
1542,tesla,0,0,0
1543,test particle,0,0,0
1544,testosterone,0,0,1
1545,theoretical physics,0,0,5
1546,theoretical yield,0,0,0
1547,theory,10,18,32
1548,theory of relativity,0,0,0
1549,thermal conduction,0,3,0
1550,thermal conductivity,0,3,0
1551,thermal equilibrium,0,9,0
1552,thermal radiation,0,6,0
1553,thermionic emission,0,19,0
1554,thermochemistry,0,0,0
1555,thermodynamic free energy,0,0,0
1556,thermodynamic stability,0,0,0
1557,thermodynamics,6,9,28
1558,thermometer,0,0,0
1559,third law of thermodynamics,0,0,0
1560,third way,0,0,0
1561,thymine,0,0,0
1562,tick,0,0,0
1563,tiger economies,0,0,0
1564,time series,3,3,3
1565,time value of money,0,4,0
1566,titration,0,0,0
1567,"tobin, james",0,0,0
1568,torque,0,3,0
1569,torr,0,0,0
1570,total internal reflection,0,0,0
1571,total return,0,0,0
1572,toughness,0,1,0
1573,trade,1,1,19
1574,trade area,0,0,0
1575,trade cycle,0,0,0
1576,trade deficit/surplus,0,0,0
1577,trade unions,0,0,0
1578,trade-weighted exchange rate,0,0,0
1579,tragedy of the commons,0,0,0
1580,trajectory,0,28,1
1581,transaction costs,0,0,0
1582,transcription,2,2,4
1583,transducer,0,0,0
1584,transfer pricing,0,4,0
1585,transfer rna,0,0,0
1586,transfers,0,0,1
1587,transition economies,0,0,0
1588,transition metal,0,0,0
1589,translation,1,1,14
1590,transmission mechanism,0,0,0
1591,transparency,0,0,8
1592,transuranic element,0,0,0
1593,transverse wave,0,8,0
1594,treasury bills,0,0,0
1595,trigonometry,0,0,1
1596,trimean,0,0,0
1597,triple bond,0,0,0
1598,triple point,0,6,1
1599,trophic level,0,4,0
1600,trough,0,0,0
1601,truncated mean,0,0,0
1602,trust,0,0,1
1603,tyndall effect,0,2,0
1604,un number,0,0,0
1605,uncertainty,4,6,8
1606,uncertainty principle,0,43,0
1607,underground economy,0,0,0
1608,unemployment,0,2,0
1609,unemployment trap,0,0,0
1610,unicellular organism,0,0,0
1611,uniform circular motion,0,0,0
1612,uniform motion,0,0,0
1613,unions,0,0,1
1614,unit cell,0,0,0
1615,unit factor,0,0,0
1616,unit of measurement,0,0,0
1617,unit vector,0,9,0
1618,uracil,0,0,0
1619,urea,0,0,0
1620,uric acid,0,0,0
1621,urine,0,0,0
1622,usury,0,0,0
1623,uterus,0,0,0
1624,utility,0,0,3
1625,utility frequency,0,0,0
1626,vacuole,0,0,0
1627,vacuum,0,0,6
1628,valence,0,0,0
1629,valence band,0,0,0
1630,valence bond theory,0,0,0
1631,valence electron,0,0,0
1632,valence shell,0,0,0
1633,valency,0,0,0
1634,value added,0,0,16
1635,value at risk,0,3,0
1636,van 't hoff factor,0,0,0
1637,van der waals force,0,0,0
1638,vapor,0,0,1
1639,vaporization,0,0,0
1640,vapour pressure,0,0,0
1641,variable capacitor,0,0,0
1642,variable costs,0,0,0
1643,variable resistor,0,0,0
1644,vasodilation,0,0,0
1645,vector,0,0,18
1646,vector space,0,3,0
1647,vegetative reproduction,0,0,0
1648,velocity,0,5,3
1649,velocity of circulation,0,0,0
1650,venture capital,1,25,1
1651,vertical equity,0,0,0
1652,vertical integration,0,0,0
1653,vesicle,0,0,0
1654,vestigiality,0,0,0
1655,virology,0,0,0
1656,virtual particle,0,3,0
1657,virus,0,0,1
1658,viscoelasticity,0,1,0
1659,viscosity,0,0,1
1660,visible light,0,0,1
1661,visible trade,0,0,0
1662,volatility,0,0,0
1663,volt,0,0,0
1664,volta potential,0,0,0
1665,voltmeter,0,0,0
1666,volumetric analysis,0,0,0
1667,voluntary unemployment,0,0,0
1668,wage drift,0,0,0
1669,wages,0,0,0
1670,water,17,17,19
1671,water potential,0,0,0
1672,watt,0,0,0
1673,wave,2,8,3
1674,wave equation,0,4,1
1675,wave function,0,7,0
1676,wavelength,0,7,3
1677,weak interaction,0,3,0
1678,wealth effect,0,0,0
1679,wealth tax,0,0,0
1680,weber,0,0,0
1681,wedge,0,0,0
1682,weightless economy,0,0,0
1683,welfare,1,1,34
1684,welfare economics,0,0,0
1685,welfare to work,0,0,0
1686,wheel and axle,0,0,0
1687,white blood cell,0,11,0
1688,white dwarf,0,0,2
1689,whole genome sequencing,0,2,0
1690,wind,0,0,2
1691,wind shear,0,0,0
1692,windfall gains,0,0,0
1693,windfall profit,0,0,0
1694,winner-takes-all markets,0,0,0
1695,withholding tax,0,0,0
1696,wobble base pair,0,0,0
1697,wood,0,1,0
1698,work,22,22,78
1699,world bank,0,0,5
1700,world trade organisation,0,0,0
1701,x-efficiency,1,1,1
1702,x-ray,2,2,2
1703,x-ray diffraction,0,0,0
1704,x-ray photoelectron spectroscopy,0,0,0
1705,xanthophyll,0,0,0
1706,xylem,0,3,0
1707,yeast artificial chromosome,0,6,0
1708,yield,1,1,2
1709,yield curve,1,1,1
1710,yield gap,0,0,0
1711,yolk,0,0,0
1712,zero-sum game,0,0,0
1713,zinc,0,1,0
1714,zone melting,0,0,0
1715,zoology,0,0,4
1716,zwitterion,0,0,0
1717,zygote,0,0,0
