,term,control,wiki,word2vec
204,biomedical engineering,18,33,715
205,biomedical research,30,30,140
206,biomimetic,1,1,1
207,biomolecule,4,323,4
208,bionics,1,1,48
209,biophysics,1,3,257
210,biotechnology,23,62,643
211,bipedal,0,0,107
212,black,924,2616,2926
213,black economy,90,90,90
214,black hole,44,181,443
215,black-scholes,0,0,0
216,blastocyst,0,2,0
217,block and tackle,42,208,42
218,blood,604,604,1213
219,bohr model,10,86,520
220,boiling,29,164,266
221,boiling point,13,297,578
222,boiling point elevation,0,0,0
223,boiling-point elevation,0,126,0
224,boltzmann constant,11,81,11
225,bond,146,146,1924
226,bonds,133,133,698
227,boom and bust,2,2,2
228,bose,2,2,312
229,boson,1,76,437
230,botany,12,13,338
231,bounded rationality,3,190,3
232,bowman's capsule,0,2,0
233,boyle's law,5,461,5
234,bra,5,66,79
235,bragg's law,0,120,0
236,brand,166,166,1140
237,bretton woods,6,6,142
238,brewster's angle,0,191,0
239,british thermal unit,2,92,2
240,brittle,21,21,167
241,brønsted,0,0,0
242,brønsted-lowrey acid,0,0,0
243,brønsted-lowrey base,0,0,0
244,brownian motion,27,69,269
245,bubble,110,114,497
246,buckminsterfullerene,0,15,233
247,budget,206,261,1922
248,buffered solution,1,1,1
249,building biology,38,214,38
250,bulk modulus,0,45,0
251,bull,64,142,661
252,bumping,6,6,159
253,buoyancy,2,994,143
254,burette,0,20,0
255,business confidence,58,58,58
256,business cycle,73,73,382
257,buyer's market,14,14,14
258,calculus,55,55,1076
259,calorimeter,0,24,256
260,calvin cycle,1,1,1
261,cannibalise,0,0,0
262,capacitance,0,382,202
263,capacitive reactance,0,0,0
264,capacity,485,485,2805
265,capital,818,818,1404
266,capital adequacy ratio,0,81,0
267,capital asset pricing model,2,78,2
268,capital controls,15,15,15
269,capital flight,27,386,27
270,capital gains,31,31,275
271,capital intensive,25,25,25
272,capital markets,53,53,53
273,capital structure,185,185,185
274,capitalism,75,75,454
275,capm,0,0,0
276,capsid,1,20,49
277,carbon fixation,0,359,0
278,carbonate,10,10,151
279,carnot cycle,0,6,84
280,cartel,4,23,122
281,cartesian coordinates,8,8,158
282,catalyst,52,86,307
283,catch-up effect,73,73,73
284,cathode,12,12,268
285,cathode ray,4,11,188
286,cation,2,2,155
287,cell,397,397,980
288,cell biology,60,60,179
289,cell membrane,51,66,386
290,cell nucleus,22,28,251
291,cell plate,13,99,13
292,cell potential,72,72,72
293,cell theory,52,152,52
294,celsius scale,4,4,371
295,center of curvature,19,113,19
296,center of gravity,42,42,42
297,center of mass,193,931,193
298,center of pressure,116,116,116
299,centigrade,8,8,52
300,central bank,70,70,450
301,central force motion,19,19,19
302,central limit theorem,66,70,66
303,centrifugal force,2,1199,202
304,centrifugation,0,0,0
305,centrifuge,12,12,148
306,centriole,0,80,196
307,centripetal force,1,1202,409
308,centroid,2,3011,2
309,centrosome,0,8,0
310,ceteris paribus,4,195,4
311,chain reaction,71,137,244
312,change of base rule,69,69,69
313,charity,57,57,752
314,charles's law,107,123,107
315,chelation,2,11,2
316,chemical bond,37,41,223
317,chemical compound,26,153,163
318,chemical equilibrium,26,52,134
319,chemical formula,18,335,73
320,chemical kinetics,7,74,49
321,chemical law,24,63,24
322,chemical physics,23,157,23
323,chemical reaction,67,182,427
324,chemistry,138,138,2529
325,chicago school,130,130,130
326,chloride,8,9,123
327,chloroplast,0,8,123
328,cholesterol,46,149,500
329,chromate,0,0,0
330,chromosome,53,53,435
331,circle,390,535,1247
332,circular motion,17,192,726
333,classical dichotomy,4,98,4
334,classical economics,12,36,73
335,classical mechanics,48,90,182
336,cloning,8,64,535
337,closed economy,39,39,39
338,closed system,171,505,171
339,coase theorem,0,200,0
340,coherence,47,47,171
341,cold fusion,8,72,2049
342,collateral,30,30,239
343,colligative properties,0,537,0
344,colloid,0,11,284
345,collusion,6,133,213
346,combustion,40,40,535
347,command economy,20,20,431
348,commoditisation,0,0,0
349,commodity,53,480,1417
350,common goods,101,101,101
351,communism,26,48,364
352,comparative advantage,16,223,367
353,competition,448,714,2265
354,competitive advantage,49,844,49
355,competitiveness,11,196,798
356,complementary goods,5,5,5
357,complex harmonic motion,0,48,0
358,compound,98,98,835
359,compound interest,21,1139,21
360,compression,70,70,623
361,compton scattering,0,78,68
362,concave lens,2,2,2
363,concentration,242,283,1192
364,condensation,18,29,362
365,condensation point,5,66,5
366,condensed matter physics,6,125,6
367,conditionality,4,359,4
368,conductor,44,44,343
369,conjugate acid,0,9,6
370,conjugated system,0,3,0
371,conservation biology,10,15,10
372,conservation of momentum,11,11,11
373,constructive interference,4,4,182
374,consumer confidence,15,247,15
375,consumer prices,32,32,58
376,consumer surplus,3,3,3
377,consumption,223,223,591
378,contagion,6,6,286
379,contestable market,0,74,0
380,continuous spectrum,25,26,54
381,continuum mechanics,6,52,6
382,convection,13,86,460
383,convergence,38,38,550
384,convex lens,4,4,4
385,cooling curve,7,55,7
386,corruption,137,150,1361
387,cosmic background radiation,4,27,4
388,cosmic rays,12,12,252
389,cost of capital,192,238,192
390,cost-benefit analysis,60,60,60
391,coulomb,0,7,173
392,coulomb's law,0,1012,0
393,covalent bond,22,34,197
394,covalent compound,0,0,0
395,creative destruction,24,226,24
396,credit,930,930,2868
397,credit creation,65,65,65
398,credit crunch,0,1019,0
399,creditor,4,1002,113
400,crest,16,16,709
401,crest factor,3,5,3
402,critical angle,24,24,24
403,critical mass,106,956,162
404,crony capitalism,0,81,193
405,crowding out,20,20,20
406,cryobiology,0,11,258
407,crystal,54,54,261
408,currency board,12,325,92
409,currency peg,0,0,0
410,current account,220,263,677
411,current density,66,245,66
412,curvilinear motion,0,91,0
413,cuvette,0,0,0
414,cyclin,0,198,0
415,cyclotron,2,36,65
416,cytosine,14,17,37
417,dalton,4,4,169
418,dalton's law,3,53,3
419,dalton's law of partial pressures,0,0,0
420,damped vibration,0,0,0
421,damping,0,236,48
422,darcy,0,0,74
423,dark energy,75,201,469
424,dark matter,141,141,289
425,darwinian fitness,5,5,5
426,dc motor,2,2,2
427,"de soto, hernando",0,0,0
428,deadweight cost/loss,1,1,1
429,debt,95,1043,1478
430,debt forgiveness,1,1,1
431,debt-equity ratio,7,7,7
432,decibel,0,12,274
433,deciduous,3,17,34
434,default,541,541,1135
435,deficit,41,41,639
436,definite integral,2,2,106
437,deflation,3,3,293
438,deflection,13,13,281
439,deformation (engineering),4,16,4
440,deformation (mechanics),2,22,2
441,dehydration reaction,14,14,14
442,deionization,0,0,0
443,deliquescence,0,0,0
444,demand,420,441,2320
445,demand curve,31,422,31
446,demographics,71,71,257
447,denaturation,0,0,226
448,dendrite,0,1,139
449,denitrification,5,21,5
450,density,191,229,933
451,deoxyribonucleic acid,4,4,234
452,deoxyribose,8,8,353
453,depolarization,0,18,0
454,deposit insurance,0,24,0
455,deposition,15,15,309
456,depreciation,5,102,326
457,depression,149,149,1455
458,deregulation,11,70,639
459,derivative,72,660,3254
460,derivatives,21,21,1021
461,derived unit,26,26,26
462,desmosome,0,6,0
463,destructive interference,5,5,120
464,devaluation,2,38,225
465,developing countries,305,305,900
466,development economics,98,372,98
467,dew point,16,126,16
468,diatomic-consistent of two atoms,0,0,0
469,dielectric,6,39,125
470,diffraction,2,55,428
471,diffusion,47,55,466
472,diminishing returns,17,83,17
473,dipolar bond,0,0,0
474,dipole,1,145,177
475,dipole moment,1,1,28
476,direct taxation,15,15,15
477,discount rate,13,13,478
478,discounted cashflow,0,0,0
479,diseconomies of scale,0,52,0
480,disequilibrium,14,14,14
481,disinflation,0,42,0
482,disintermediation,0,893,0
483,dispersion,11,11,379
484,displacement (fluid),5,53,5
485,displacement (vector),3,772,3
486,dissolution or solvation,0,0,0
487,distance,547,1154,1373
488,diversification,9,9,248
489,dividend,1,9,294
490,division of labour,6,6,6
491,dna,179,179,1154
492,dna replication,27,27,179
493,dna sequencing,23,23,1714
494,dollarisation,0,0,0
495,dominant firm,21,21,21
496,doppler effect,11,11,129
497,double bond,30,40,327
498,drag,135,135,995
499,drift velocity,0,6,0
500,ductility,0,7,0
501,dumping,12,12,181
502,dynamics,166,166,873
503,dyne,0,50,0
504,dynein,1,4,1
505,earth metal,62,66,62
506,ecb,0,0,388
507,ecdysone,0,5,0
508,ecological efficiency,13,13,13
509,ecological niche,4,139,334
510,ecological pyramid,4,97,4
511,ecological succession,6,86,6
512,ecology,94,94,727
513,econometrics,2,73,257
514,economic and monetary union,8,70,8
515,economic indicator,21,21,21
516,economic man,140,140,140
517,economic rent,36,174,36
518,economic sanctions,15,421,636
519,economics,295,295,1330
520,economies of scale,87,127,87
521,econophysics,0,125,0
522,ecophysiology,0,122,0
523,ecosystem,58,158,331
524,ecotype,0,110,0
525,ectoderm,0,13,313
526,ectotherm,0,3,0
527,effective exchange rate,13,26,13
528,effector,10,10,211
529,effector cell,7,7,7
530,efferent,0,6,0
531,efficiency,314,406,1725
532,efficiency wages,0,0,0
533,efficient market hypothesis,6,6,6
534,egg,66,67,866
535,elastic collision,3,111,3
536,elastic energy,6,183,6
537,elastic instability,1,233,1
538,elastic modulus,0,4,0
539,elasticity,19,19,197
540,electric charge,28,87,420
541,electric circuit,10,10,10
542,electric current,55,55,307
543,electric displacement field,1,9,1
544,electric field,58,106,271
545,electric field gradient,1,57,1
546,electric field intensity,10,10,10
547,electric generator,21,38,21
548,electric motor,12,17,93
549,electric potential,34,145,277
550,electric power,88,95,405
551,electrical and electronics engineering,3,3,3
552,electrical conductor,2,281,2
553,electrical insulator,0,0,109
554,electrical network,17,312,17
555,electrical potential energy,20,20,20
556,electrical resistance,10,10,125
557,electricity,279,279,817
558,electrochemical cell,0,1020,64
559,electrochemical gradient,7,110,7
560,electrodynamics,32,32,101
561,electrolyte,6,61,176
562,electrolytic cell,0,0,88
563,electromagnet,3,60,3
564,electromagnetic field,13,20,131
565,electromagnetic induction,0,88,62
566,electromagnetic radiation,19,105,291
567,electromagnetic spectrum,19,184,501
568,electromagnetic wave equation,2,120,2
569,electromagnetism,7,38,681
570,electromechanics,0,217,0
571,electromotive force,0,79,239
572,electron,156,159,503
573,electron acceptor,28,28,28
574,electron carrier,10,10,10
575,electron donor,12,12,12
576,electron microscope,1,37,274
577,electron pair,10,40,480
578,electron shell,0,103,0
579,electron shells,0,0,235
580,electron transport chain,48,58,48
581,electronegativity,2,53,438
582,electronics,36,36,1970
583,electronvolt,0,183,196
584,element,792,792,2566
585,elementary particle,5,154,132
586,embryo,2,6,195
587,embryo sac,0,0,0
588,embryology,2,2,222
589,emerging markets,36,429,36
590,emission spectrum,13,187,88
591,empirical formula,18,23,697
592,enantiomer,0,6,0
593,endangered species,9,83,273
594,endemic species,5,5,41
595,endemism,0,97,0
596,endergonic reaction,7,7,7
597,endocrine gland,0,2,0
598,endocrine system,2,2,175
599,endocytosis,3,50,74
600,endoderm,0,13,0
601,endodermis,0,8,0
602,endogenous,13,13,133
603,endoplasmic reticulum,10,10,113
604,endosperm,0,8,0
605,endosymbiotic theory,0,0,0
606,endotherm,0,3,0
607,endothermic,2,2,186
608,energy,1034,1210,1921
609,engel's law,0,133,0
610,engineering physics,51,139,51
611,enron,3,11,298
612,enterprise,211,211,943
613,enthalpy,10,397,165
614,entomology,1,241,13
615,entrepreneur,59,59,318
616,entropy,34,84,827
617,environmental biology,41,41,41
618,environmental economics,49,149,49
619,enzyme,170,304,623
620,epicotyl,0,8,0
621,epidemiology,115,127,464
622,epigenetics,3,7,3
623,epinephrine,13,184,100
624,epiphyte,0,86,0
625,epistasis,0,4,0
626,eppendorf tube,0,0,0
627,equilibrium,101,101,547
628,equipartition,0,0,0
629,equities,0,0,0
630,equity,174,174,837
631,equity risk premium,2,2,2
632,escape velocity,11,49,193
633,estrogen,6,85,124
634,ethology,0,0,282
635,eukaryote,0,0,41
636,euro,16,29,533
637,euro zone,6,6,6
638,eurodollar,0,258,0
639,european central bank,11,11,11
640,european union,77,77,1237
641,evolution,259,270,1588
642,evolutionary biology,22,36,332
643,evolutionary economics,10,159,10
644,excess returns,7,7,7
645,exchange controls,15,15,15
646,exchange rate,54,276,1003
647,exocytosis,2,30,2
648,exogenous,6,6,56
649,exon,18,193,233
650,exothermic,4,4,205
651,exothermic process,4,12,4
652,expectations,201,201,2775
653,expected returns,109,109,109
654,expenditure tax,5,5,5
655,experimental physics,52,328,52
656,exponential growth,8,22,477
657,export credit,9,9,9
658,exports,21,21,722
659,expressivity,0,0,0
660,external fertilization,2,6,2
661,externality,6,216,79
662,extrinsic property,5,5,5
663,factor cost,188,255,188
664,factors of production,101,1296,101
665,factory prices,5,5,5
666,facultative anaerobe,0,0,0
667,fair trade,112,112,112
668,falling bodies,34,34,34
669,farad,0,2,39
670,faraday,6,6,33
671,faraday constant,4,32,4
672,faraday's law of electrolysis,0,0,0
673,fdi,0,0,253
674,federal reserve system,19,19,19
675,fermat's principle,0,572,0
676,ferrimagnetism,0,3,139
677,ferromagnetism,0,3,23
678,fick's laws of diffusion,0,97,0
679,financial centre,7,79,270
680,financial instrument,21,171,21
681,financial intermediary,10,170,10
682,financial markets,76,76,566
683,financial system,262,282,262
684,fine tuning,14,14,208
685,firms,121,121,1161
686,first,6445,6445,9486
687,first-mover advantage,19,455,19
688,fiscal drag,2,34,2
689,fiscal neutrality,1,1,1
690,fiscal policy,34,34,342
691,fission,56,56,249
692,fixed costs,109,109,109
693,flotation,4,4,15
694,fluid,116,116,597
695,fluid mechanics,8,49,40
696,fluid physics,11,11,11
697,fluid statics,0,0,0
698,fluorescence,4,63,211
699,flux,53,614,476
700,focus,1787,1787,4676
701,foetus,0,0,154
702,food chain,70,98,122
703,force,991,1124,2876
704,forecasting,10,758,261
705,foreign direct investment,17,467,17
706,forward contracts,36,36,36
707,founder effect,58,213,58
708,fraunhofer lines,0,65,0
709,free lunch,82,204,82
710,free riding,31,76,31
711,free trade,158,331,724
712,freezing,34,43,496
713,freezing point,22,30,313
714,frequency,199,368,864
715,frequency modulation,2,2,345
716,frictional unemployment,0,44,0
717,"friedman, milton",9,9,491
718,full employment,45,55,404
719,function,2154,2154,2894
720,fundamental frequency,49,67,225
721,fundamental theorem of calculus,0,0,0
722,fungible,3,3,3
723,fusion,59,59,620
724,futures,51,51,597
725,"g7, g8, g10, g21, g22, g26",0,0,0
726,galvanic cell,0,7,95
727,game theory,127,127,1445
728,gamma,56,147,302
729,gamma ray,5,170,494
730,ganglion,0,0,220
731,gas,321,346,840
732,gatt,1,1,238
733,gay-lussac's law,0,0,0
734,gdp,89,89,2502
735,gearing,4,4,18
736,gene,266,312,880
737,gene pool,7,542,704
738,general agreement on tariffs and trade,1,1,1
739,general equilibrium,31,31,31
740,general relativity,112,120,601
741,generational accounting,1,9,1
742,genetic code,19,284,643
743,genetic drift,3,49,756
744,genetic variation,21,42,106
745,genetics,73,73,635
746,genome,131,269,1126
747,geochemistry,6,58,106
748,geophysics,4,4,17
749,gibbs energy,0,0,0
750,giffen goods,0,0,0
751,gilts,0,0,0
752,gini coefficient,7,20,433
753,global public goods,57,57,57
754,globalisation,6,6,242
755,gluon,0,0,185
756,gni,0,0,863
757,gnp,6,6,323
758,gold,366,366,1182
759,gold standard,42,42,254
760,golden rule,39,39,150
761,government,1829,1847,3240
762,government bonds,24,24,24
763,government debt,40,40,40
764,government expenditure,27,27,27
765,government revenue,88,126,88
766,graham's law of diffusion,0,0,0
767,gram-atom,0,0,0
768,gravitation,4,4,325
769,gravitational constant,20,40,80
770,gravitational energy,25,171,25
771,gravitational field,29,122,258
772,gravitational potential,7,131,337
773,gravitational waves,15,15,607
774,gravity,120,181,1025
775,"greenspan, alan",0,0,0
776,gresham's law,0,56,0
777,gross domestic product,24,74,24
778,gross national product,25,35,25
779,ground,869,869,2013
780,ground state,331,395,331
781,group,2201,2201,6468
782,group velocity,18,171,216
783,growth,496,496,1883
784,guanine,14,37,53
785,gular,0,0,0
786,habitat,52,137,494
787,hadron,3,112,40
788,half,1328,1328,3796
789,halogens,2,2,214
790,hamilton's principle,5,573,5
791,hard currency,26,91,445
792,harmonic mean,4,3011,448
793,hawala,0,66,523
794,"hayek, friedrich",4,4,4
795,heat,248,324,1094
796,heat transfer,17,100,651
797,hedge,44,281,131
798,hedge funds,5,5,1763
799,helmholtz free energy,0,262,0
800,henderson,23,23,192
801,henry's law,44,44,44
802,herfindahl-hirschman index,0,0,0
803,hermaphrodite,1,336,37
804,herpetology,0,0,150
805,hertz,13,24,87
806,hess's law,0,32,0
807,heterosis,0,92,0
808,higgs boson,1,211,85
809,histology,2,12,218
810,homeokinetics,0,475,0
811,homo economicus,9,110,9
812,horizontal equity,9,9,9
813,horizontal integration,10,547,10
814,hormone,27,75,353
815,horsepower,2,2,125
816,hot money,80,193,80
817,house prices,45,45,45
818,hubble deep field,4,4,4
819,human capital,238,238,238
820,human development index,41,41,41
821,human nutrition,40,114,40
822,hund's rules,0,716,0
823,huygens,0,8,11
824,hydrocarbon,13,13,345
825,hydrostatics,0,472,65
826,hyper-inflation,0,0,623
827,hypothecation,0,218,0
828,hysteresis,1,1,320
829,ice point,80,80,80
830,ichthyology,0,0,56
831,ideal gas,13,13,143
832,ideal gas constant,4,4,4
833,ideal gas law,3,54,3
834,ilo,3,5,215
835,imf,18,18,1348
836,immune response,34,78,71
837,immunogloblin,0,0,0
838,impedance,0,0,45
839,imperfect competition,13,14,13
840,imports,42,42,686
841,income,607,607,2119
842,income effect,156,156,156
843,income tax,113,134,753
844,incomplete dominance,4,4,4
845,incumbent advantage,6,6,6
846,indefinite integral,0,0,0
847,index numbers,187,187,187
848,indexation,0,108,0
849,indicator,130,130,228
850,indifference curve,1,261,1
851,indirect taxation,1,1,1
852,induced radioactivity,1,46,1
853,inductance,0,73,120
854,inductive reactance,0,0,0
855,inelastic,2,2,558
856,inequality,173,173,353
857,inertia,33,77,309
858,inferior goods,22,22,22
859,inflation,42,315,1016
860,inflation target,5,5,5
861,information,2205,2219,5579
862,infrasound,0,826,0
863,infrastructure,450,450,1638
864,innovation,483,1699,2083
865,inorganic chemistry,9,138,51
866,inorganic compound,2,2,2
867,insider trading,4,242,299
868,institutional economics,39,39,39
869,institutional investors,15,15,15
870,insulator,0,0,150
871,insulin,41,77,354
872,insurance,430,430,2279
873,intangible assets,0,0,0
874,integral,131,140,1015
875,integral transform,16,16,16
876,integrative biology,1,1,1
877,intellectual capital,87,184,87
878,interest,1132,1356,5843
879,interest rate,144,163,701
880,interferon,2,7,95
881,interleukin,0,0,0
882,internal fertilization,2,5,2
883,international aid,136,136,136
884,international labour organisation,0,0,0
885,international monetary fund,11,11,11
886,international system of units,43,43,43
887,international trade,140,157,951
888,intervention,421,421,1450
889,intrinsic property,18,18,18
890,invariant mass,1,1050,1
891,invertebrate,1,1,28
892,investment,319,319,1619
893,invisible hand,71,258,678
894,invisible trade,19,19,19
895,inward investment,3,4,3
896,ion,21,49,286
897,ionic bond,0,0,112
898,ionization,6,117,409
899,isomer,6,27,158
900,isotonic solution,0,0,0
901,isotope,10,67,97
902,iupac,0,0,173
903,j-curve,230,230,230
904,jejunum,0,7,0
905,job search,127,127,127
906,jodium,0,0,0
907,joint supply,29,29,29
908,joule,6,84,139
909,kelvin,23,42,79
910,ketone,28,89,76
911,"keynes, john maynard",6,6,6
912,keynesian,8,8,120
913,kinematics,11,114,11
914,kinetic energy,49,185,568
915,kinetics,42,42,268
916,kirchhoff's circuit laws,0,45,0
917,kirchhoff's equations,0,0,0
918,kleptocracy,0,254,0
919,kondratieff wave,0,0,0
920,krebs cycle,0,0,134
921,labour,36,36,1790
922,labour intensive,0,0,0
923,labour market flexibility,0,1533,0
924,labour theory of value,6,6,6
925,lacteal,0,7,0
926,laffer curve,0,211,0
927,lagging indicators,1,1,1
928,lagging strand,0,0,113
929,laissez-faire,14,14,14
930,laminar flow,0,15,0
931,land,896,915,1812
932,land tax,117,117,117
933,lanthanides,0,0,5
934,laplace,2,10,152
935,laplace transform,0,72,292
936,larva,0,4,74
937,laser,47,69,314
938,lattice,12,12,232
939,law and economics,66,177,66
940,law of independent assortment,0,0,0
941,law of universal gravitation,0,0,0
942,laws of motion,60,175,60
943,laws of thermodynamics,11,52,11
944,lbo,0,0,0
945,lc circuit,0,0,0
946,leading indicators,27,27,27
947,lender of last resort,4,69,4
948,lepton,0,56,194
949,leukocyte,0,0,0
950,lever,8,128,234
951,leverage,185,185,817
952,leveraged buy-out,8,8,8
953,lewis acid,0,0,0
954,lewis base,5,5,5
955,liberal economics,17,17,17
956,liberalisation,3,3,155
957,libor,0,145,0
958,life,3471,3471,5311
959,life-cycle hypothesis,15,111,15
960,ligament,0,14,12
961,light,1292,1292,2497
962,linear actuator,1,6,1
963,linear algebra,59,90,421
964,linear elasticity,3,18,3
965,linked genes,13,13,13
966,liouville's theorem,0,0,0
967,lipid,37,37,186
968,lipoprotein,2,51,125
969,liquid,117,537,855
970,liquid crystal,6,6,99
971,liquidity,3,3,92
972,liquidity preference,0,28,0
973,liquidity trap,0,8,0
974,lock-in,108,108,108
975,london dispersion forces,0,0,0
976,long run,785,785,1103
977,lump of labour fallacy,0,1,0
978,lump-sum tax,0,44,0
979,luxuries,18,18,987
980,m,0,0,44
981,m phase,309,309,309
982,mach number,12,18,12
983,machine,409,409,2101
984,machine element,118,275,118
985,maclaurin series,0,6,0
986,macroeconomic policy,12,12,12
987,macroeconomics,7,7,436
988,macroevolution,0,22,634
989,macromolecule,0,324,163
990,macronutrient,0,0,0
991,macrophage,4,64,74
992,magnetic field,38,98,590
993,magnetic quantum number,7,66,7
994,magnetism,27,27,190
995,mammalogy,0,0,113
996,manometer,0,0,0
997,manufacturing,106,681,1655
998,marginal,119,119,2099
999,marine biology,1,2,1
1000,market capitalisation,0,0,0
1001,market failure,53,53,53
1002,market forces,103,103,103
1003,market power,183,395,183
1004,marshall plan,22,22,438
1005,"marshall, alfred",1,1,1
1006,"marx, karl",10,10,10
1007,mass,890,917,2690
1008,mass balance,60,896,60
1009,mass concentration,40,40,40
1010,mass density,60,60,60
1011,mass flux,13,58,13
1012,mass fraction,23,23,23
1013,mass moment of inertia,3,3,3
1014,mass number,300,344,300
1015,mass spectrometry,2,72,9
